token sentstart
stellte 41491
sich 41499
und 41504
Klara 41508

  41513
dar 41515
, 41518
in 41520
treuer 41523
Liebe 41530
verbunden 41536
, 41545
aber 41547
dann 41552
und 41557
wann 41561
war 41566
es 41570
, 41572
als 41574
griffe 41578
eine 41585
schwarze 41590
Faust 41599
in 41605
ihr 41608
Leben 41612
und 41618
risse 41622
irgendeine 41628
Freude 41639
heraus 41646
, 41652
die 41654
ihnen 41658
aufgegangen 41664
. 41675
Endlich 41677
, 41684
als 41686
sie 41690
schon 41694
am 41700
Traualtar 41703
stehen 41713
, 41719
erscheint 41721
der 41731
entsetzliche 41735
Coppelius 41748

  41757
und 41759
berührt 41763
Klaras 41772

  41778
holde 41780
Augen 41786
; 41791
die 41793
springen 41797
in 41806
Nathanaels 41809
Brust 41820
, 41825
wie 41827
blutige 41831
Funken 41839
sengend 41846
und 41854
brennend 41858
, 41866
Coppelius 41868

  41877
faßt 41879
ihn 41885
und 41889
wirft 41893
ihn 41899
in 41903
einen 41906
flammenden 41912
Feuerkreis 41923
, 41933
der 41935
sich 41939
dreht 41944
mit 41950
der 41954
Schnelligkeit 41958
des 41972
Sturmes 41976
und 41984
ihn 41988
sausend 41992
und 42000
brausend 42004
fortreißt 42013
. 42023
Es 42025
ist 42028
ein 42032
Tosen 42036
, 42041
als 42043
wenn 42047
der 42052
Orkan 42056
grimmig 42062
hineinpeitscht 42070
in 42085
die 42088
schäumenden 42092
Meereswellen 42105
, 42117
die 42119
sich 42123
wie 42128
schwarze 42132
, 42140
weißhauptige 42142
Riesen 42156
emporbäumen 42163
in 42176
wütendem 42179
Kampfe 42189
. 42195
Aber 42197
durch 42202
dies 42208
wilde 42213
Tosen 42219
hört 42225
er 42231
Klaras 42234

  42240
Stimme 42242
: 42248
„Kannst 42250
du 42260
mich 42263
denn 42268
nicht 42273
erschauen 42279
? 42288
Coppelius 42290

  42299
hat 42301
dich 42305
getäuscht 42310
, 42320
das 42322
waren 42326
ja 42332
nicht 42335
meine 42341
Augen 42347
, 42352
die 42354
so 42358
in 42361
deiner 42364
Brust 42371
brannten 42377
, 42385
das 42387
waren 42391
ja 42397
glühende 42400
Tropfen 42410
deines 42418
eignen 42425
Herzbluts 42432
� 42442
� 42444
ich 42446
habe 42450
ja 42455
meine 42458
Augen 42464
, 42469
sieh 42471
mich 42476
doch 42481
nur 42486
an 42490
! 42492
“ 42493
� 42497
� 42499
Nathanael 42501

  42510
denkt 42512
: 42517
Das 42519
ist 42523
Klara 42527

 42532
, 42533
und 42535
ich 42539
bin 42543
ihr 42547
eigen 42551
ewiglich 42557
. 42565
� 42567
� 42569
Da 42571
ist 42574
es 42578
, 42580
als 42582
faßt 42586
der 42592
Gedanke 42596
gewaltig 42604
in 42613
den 42616
Feuerkreis 42620
hinein 42631
, 42637
daß 42639
er 42644
stehen 42647
bleibt 42654
, 42660
und 42662
im 42666
schwarzen 42669
Abgrund 42679
verrauscht 42687
dumpf 42698
das 42704
Getöse 42708
. 42715
Nathanael 42717

  42726
blickt 42728
in 42735
Klaras 42738
Augen 42745
; 42750
aber 42752
es 42757
ist 42760
der 42764
Tod 42768
, 42771
der 42773
mit 42777
Klaras 42781
Augen 42788
ihn 42794
freundlich 42798
anschaut 42809
. 42817

 42819
Während 42820
Nathanael 42829

  42838
dies 42840
dichtete 42845
, 42853
war 42855
er 42859
sehr 42862
ruhig 42867
und 42873
besonnen 42877
, 42885
er 42887
feilte 42890
und 42897
besserte 42901
an 42910
jeder 42913
Zeile 42919
, 42924
und 42926
da 42930
er 42933
sich 42936
dem 42941
metrischen 42945
Zwange 42956
unterworfen 42963
, 42974
ruhte 42976
er 42982
nicht 42985
, 42990
bis 42992
alles 42996
rein 43002
und 43007
wohlklingend 43011
sich 43024
fügte 43029
. 43035
Als 43037
er 43041
jedoch 43044
nun 43051
endlich 43055
fertig 43063
worden 43070
und 43077
das 43081
Gedicht 43085
für 43093
sich 43098
laut 43103
las 43108
, 43111
da 43113
faßte 43116
ihn 43123
Grausen 43127
und 43135
wildes 43139
Entsetzen 43146
, 43155
und 43157
er 43161
schrie 43164
auf 43171
: 43174
„Wessen 43176
grauenvolle 43186
Stimme 43198
ist 43205
das 43209
? 43212
“ 43213
Bald 43217
schien 43222
ihm 43229
jedoch 43233
das 43240
Ganze 43244
wieder 43250
nur 43257
eine 43261
sehr 43266
gelungene 43271
Dichtung 43281
, 43289
und 43291
es 43295
war 43298
ihm 43302
, 43305
als 43307
müsse 43311
Klaras 43318
kaltes 43325
Gemüt 43332
dadurch 43339
entzündet 43347
werden 43358
, 43364
wiewohl 43366
er 43374
nicht 43377
deutlich 43383
dachte 43392
, 43398
wozu 43400
denn 43405
Klara 43410

  43415
entzündet 43417
und 43428
wozu 43432
es 43437
denn 43440
nun 43445
eigentlich 43449
führen 43460
solle 43468
, 43473
sie 43475
mit 43479
den 43483
grauenvollen 43487
Bildern 43500
zu 43508
ängstigen 43511
, 43521
die 43523
ein 43527
entsetzliches 43531
, 43544
ihre 43546
Liebe 43551
zerstörendes 43557
Geschick 43571
weissagten 43580
. 43590
� 43592
� 43594
Sie 43596
, 43599
Nathanael 43601

  43610
und 43612
Klara 43616

 43621
, 43622
saßen 43624
in 43631
der 43634
Mutter 43638
kleinem 43645
Garten 43653
, 43659
Klara 43661

  43666
war 43668
sehr 43672
heiter 43677
, 43683
weil 43685
Nathanael 43690

  43699
sie 43701
seit 43705
drei 43710
Tagen 43715
, 43720
in 43722
denen 43725
er 43731
an 43734
jener 43737
Dichtung 43743
schrieb 43752
, 43759
nicht 43761
mit 43767
seinen 43771
Träumen 43778
und 43787
Ahnungen 43791
geplagt 43800
hatte 43808
. 43813
Auch 43815
Nathanael 43820

  43829
sprach 43831
lebhaft 43838
und 43846
froh 43850
von 43855
lustigen 43859
Dingen 43868
wie 43875
sonst 43879
, 43884
so 43886
daß 43889
Klara 43894

  43899
sagte 43901
: 43906
„Nun 43908
erst 43915
habe 43920
ich 43925
dich 43929
ganz 43934
wieder 43939
, 43945
siehst 43947
du 43954
es 43957
wohl 43960
, 43964
wie 43966
wir 43970
den 43974
häßlichen 43978
Coppelius 43990

  43999
vertrieben 44001
haben 44012
? 44017
“ 44018
Da 44022
fiel 44025
dem 44030
Nathanael 44034

  44043
erst 44045
ein 44050
, 44053
daß 44055
er 44060
ja 44063
die 44066
Dichtung 44070
in 44079
der 44082
Tasche 44086
trage 44093
, 44098
die 44100
er 44104
habe 44107
vorlesen 44112
wollen 44121
. 44127
Er 44129
zog 44132
auch 44136
sogleich 44141
die 44150
Blätter 44154
hervor 44163
und 44170
fing 44174
an 44179
zu 44182
lesen 44185
; 44190
Klara 44192

 44197
, 44198
etwas 44200
Langweiliges 44206
wie 44219
gewöhnlich 44223
vermutend 44235
und 44245
sich 44249
darein 44254
ergebend 44261
, 44269
fing 44271
an 44276
, 44278
ruhig 44280
zu 44286
stricken 44289
. 44297
Aber 44299
so 44304
wie 44307
immer 44311
schwärzer 44317
und 44328
schwärzer 44332
das 44343
düstre 44347
Gewölk 44355
aufstieg 44363
, 44371
ließ 44373
sie 44379
den 44383
Strickstrumpf 44387
sinken 44401
und 44408
blickte 44412
starr 44420
dem 44426
Nathanael 44430

  44439
ins 44441
Auge 44445
. 44449
Den 44451
riß 44455
seine 44460
Dichtung 44466
unaufhaltsam 44475
fort 44488
, 44492
hochrot 44494
färbte 44502
seine 44510
Wangen 44516
die 44523
innere 44527
Glut 44534
, 44538
Tränen 44540
quollen 44548
ihm 44556
aus 44560
den 44564
Augen 44568
. 44573
� 44575
� 44577
Endlich 44579
hatte 44587
er 44593
geschlossen 44596
, 44607
er 44609
stöhnte 44612
in 44621
tiefer 44624
Ermattung 44631
� 44641
� 44643
er 44645
faßte 44648
Klaras 44655
Hand 44662
und 44667
seufzte 44671
wie 44679
aufgelöst 44683
in 44694
trostlosem 44697
Jammer 44708
: 44714
„Ach 44716
! 44722
� 44724
� 44726
Klara 44728

  44733
� 44735
� 44737
Klara 44739
! 44744
“ 44745
� 44749
� 44751
Klara 44753

  44758
drückte 44760
ihn 44769
sanft 44773
an 44779
ihren 44782
Busen 44788
und 44794
sagte 44798
leise 44804
, 44809
aber 44811
sehr 44816
langsam 44821
und 44829
ernst 44833
: 44838
„Nathanael 44840
� 44853
� 44855
mein 44857
herzlieber 44862
Nathanael 44873

 44882
! 44883
� 44885
� 44887
wirf 44889
das 44894
tolle 44898
� 44904
� 44906
unsinnige 44908
� 44918
� 44920
wahnsinnige 44922
Märchen 44934
ins 44943
Feuer.“ 44947
Da 44957
sprang 44960
Nathanael 44967

  44976
entrüstet 44978
auf 44989
und 44993
rief 44997
, 45001
Klara 45003

  45008
von 45010
sich 45014
stoßend 45019
: 45027
„Du 45029
lebloses 45035
, 45043
verdammtes 45045
Automat 45056
! 45063
“ 45064
Er 45068
rannte 45071
fort 45078
, 45082
bittre 45084
Tränen 45091
vergoß 45099
die 45107
tief 45111
verletzte 45116
Klara 45126
: 45131
„Ach 45133
, 45139
er 45141
hat 45144
mich 45148
niemals 45153
geliebt 45161
, 45168
denn 45170
er 45175
versteht 45178
mich 45187
nicht“ 45192
, 45200
schluchzte 45202
sie 45213
laut 45217
. 45221
� 45223
� 45225
Lothar 45227

  45233
trat 45235
in 45240
die 45243
Laube 45247
; 45252
Klara 45254

  45259
mußte 45261
ihm 45268
erzählen 45272
, 45281
was 45283
vorgefallen 45287
; 45298
er 45300
liebte 45303
seine 45310
Schwester 45316
mit 45326
ganzer 45330
Seele 45337
, 45342
jedes 45344
Wort 45350
ihrer 45355
Anklage 45361
fiel 45369
wie 45374
ein 45378
Funke 45382
in 45388
sein 45391
Inneres 45396
, 45403
so 45405
daß 45408
der 45413
Unmut 45417
, 45422
den 45424
er 45428
wider 45431
den 45437
träumerischen 45441
Nathanael 45456

  45465
lange 45467
im 45473
Herzen 45476
getragen 45483
, 45491
sich 45493
entzündete 45498
zum 45510
wilden 45514
Zorn 45521
. 45525
Er 45527
lief 45530
zu 45535
Nathanael 45538

 45547
, 45548
er 45550
warf 45553
ihm 45558
das 45562
unsinnige 45566
Betragen 45576
gegen 45585
die 45591
geliebte 45595
Schwester 45604
in 45614
harten 45617
Worten 45624
vor 45631
, 45634
die 45636
der 45640
aufbrausende 45644
Nathanael 45657

  45666
ebenso 45668
erwiderte 45675
. 45684
Ein 45686
„phantastischer 45690
, 45707
wahnsinniger 45709
Geck“ 45722
wurde 45730
mit 45736
einem 45740
„miserablen 45746
, 45759
gemeinen 45761
Alltagsmenschen“ 45770
erwidert 45789
. 45797
Der 45799
Zweikampf 45803
war 45813
unvermeidlich 45817
. 45830
Sie 45832
beschlossen 45836
, 45847
sich 45849
am 45854
folgenden 45857
Morgen 45867
hinter 45874
dem 45881
Garten 45885
nach 45892
dortiger 45897
akademischer 45906
Sitte 45919
mit 45925
scharfgeschliffenen 45929
Stoßrapieren 45949
zu 45963
schlagen 45966
. 45974
Stumm 45976
und 45982
finster 45986
schlichen 45994
sie 46004
umher 46008
, 46013
Klara 46015

  46020
hatte 46022
den 46028
heftigen 46032
Streit 46041
gehört 46048
und 46056
gesehen 46060
, 46067
daß 46069
der 46074
Fechtmeister 46078
in 46091
der 46094
Dämmerung 46098
die 46109
Rapiere 46113
brachte 46121
. 46128
Sie 46130
ahnte 46134
, 46139
was 46141
geschehen 46145
sollte 46155
. 46161
Auf 46163
dem 46167
Kampfplatz 46171
angekommen 46182
, 46192
hatten 46194
Lothar 46201

  46207
und 46209
Nathanael 46213

  46222
soeben 46224
düster 46231
schweigend 46239
die 46250
Röcke 46254
abgeworfen 46261
; 46271
blutdürstige 46273
Kampflust 46287
im 46297
brennenden 46300
Auge 46311
, 46315
wollten 46317
sie 46325
gegeneinander 46329
ausfallen 46343
, 46352
als 46354
Klara 46358

  46363
durch 46365
die 46371
Gartentür 46375
herbeistürzte 46386
. 46400
Schluchzend 46402
rief 46414
sie 46419
laut 46423
: 46427
„Ihr 46429
wilden 46436
entsetzlichen 46443
Menschen 46457
! 46465
� 46467
� 46469
stoßt 46471
mich 46478
nur 46483
gleich 46487
nieder 46494
, 46500
ehe 46502
ihr 46506
euch 46510
anfallt 46515
; 46522
denn 46524
wie 46529
soll 46533
ich 46538
denn 46542
länger 46547
leben 46555
auf 46561
der 46565
Welt 46569
, 46573
wenn 46575
der 46580
Geliebte 46584
den 46593
Bruder 46597
oder 46604
wenn 46609
der 46614
Bruder 46618
den 46625
Geliebten 46629
ermordet 46639
hat 46648
! 46651
“ 46652
� 46656
� 46658
Lothar 46660
ließ 46667

  46672
die 46674
Waffe 46678
sinken 46684
und 46691
sah 46695
schweigend 46699
zur 46710
Erde 46714

  46718
nieder 46720
, 46726
aber 46728
in 46733
Nathanaels 46736

  46746
Innern 46748
ging 46755
in 46760
herzzerreißender 46763
Wehmut 46781
alle 46788
Liebe 46793
wieder 46799
auf 46806
, 46809
wie 46811
er 46815
sie 46818
jemals 46822
in 46829
der 46832
herrlichen 46836
Jugendzeit 46847
schönsten 46858
Tagen 46869
für 46875
die 46880
holde 46884
Klara 46890

  46895
empfunden 46897
. 46906
Das 46908
Mordgewehr 46912
entfiel 46923
seiner 46931
Hand 46938
, 46942
er 46944
stürzte 46947
zu 46956
Klaras 46959
Füßen 46966
. 46973
„Kannst 46975
du 46985
mir 46988
denn 46992
jemals 46997
verzeihen 47004
, 47013
du 47015
meine 47018
einzige 47024
, 47031
meine 47033
herzgeliebte 47039
Klara 47052

 47057
! 47058
� 47060
� 47062
Kannst 47064
du 47071
mir 47074
verzeihen 47078
, 47087
mein 47089
herzlieber 47094
Bruder 47105
Lothar 47112
! 47118
“ 47119
� 47123
� 47125
Lothar 47127

  47133
wurde 47135
gerührt 47141
von 47150
des 47154
Freundes 47158
tiefem 47167
Schmerz 47174
; 47181
unter 47183
tausend 47189
Tränen 47197
umarmten 47205
sich 47214
die 47219
drei 47223
versöhnten 47228
Menschen 47240
und 47249
schwuren 47253
, 47261
nicht 47263
voneinander 47269
zu 47281
lassen 47284
in 47291
steter 47294
Liebe 47301
und 47307
Treue 47311
. 47316

 47318
Dem 47319
Nathanael 47323

  47332
war 47334
es 47338
zumute 47341
, 47347
als 47349
sei 47353
eine 47357
schwere 47362
Last 47370
, 47374
die 47376
ihn 47380
zu 47384
Boden 47387
gedrückt 47393
, 47402
von 47404
ihm 47408
abgewälzt 47412
, 47422
ja 47424
als 47427
habe 47431
er 47436
, 47438
Widerstand 47440
leistend 47451
der 47460
finstern 47464
Macht 47473
, 47478
die 47480
ihn 47484
befangen 47488
, 47496
sein 47498
ganzes 47503
Sein 47510
, 47514
dem 47516
Vernichtung 47520
drohte 47532
, 47538
gerettet 47540
. 47548
Noch 47550
drei 47555
selige 47560
Tage 47567
verlebte 47572
er 47581
bei 47584
den 47588
Lieben 47592
, 47598
dann 47600
kehrte 47605
er 47612
zurück 47615
nach 47623
G. 47628
, 47630
wo 47632
er 47635
noch 47638
ein 47643
Jahr 47647
zu 47652
bleiben 47655
, 47662
dann 47664
aber 47669
auf 47674
immer 47678
nach 47684
seiner 47689
Vaterstadt 47696
zurückzukehren 47707
gedachte 47723
. 47731

 47733
Der 47734
Mutter 47738
war 47745
alles 47749
, 47754
was 47756
sich 47760
auf 47765
Coppelius 47769

  47778
bezog 47780
, 47785
verschwiegen 47787
worden 47800
; 47806
denn 47808
man 47813
wußte 47817
, 47823
daß 47825
sie 47830
nicht 47834
ohne 47840
Entsetzen 47845
an 47855
ihn 47858
denken 47862
konnte 47869
, 47875
weil 47877
sie 47882
, 47885
wie 47887
Nathanael 47891

 47900
, 47901
ihm 47903
den 47907
Tod 47911
ihres 47915
Mannes 47921
schuld 47928
gab 47935
. 47938

 47940
Wie 47941
erstaunte 47945
Nathanael 47955

 47964
, 47965
als 47967
er 47971
in 47974
seine 47977
Wohnung 47983
wollte 47991
und 47998
sah 48002
, 48005
daß 48007
das 48012
ganze 48016
Haus 48022
niedergebrannt 48027
war 48042
, 48045
so 48047
daß 48050
aus 48055
dem 48059
Schutthaufen 48063
nur 48076
die 48080
nackten 48084
Feuermauern 48092
hervorragten 48104
. 48116
Unerachtet 48118
das 48129
Feuer 48133
in 48139
dem 48142
Laboratorium 48146
des 48159
Apothekers 48163
, 48173
der 48175
im 48179
untern 48182
Stocke 48189

  48195
wohnte 48197
, 48203
ausgebrochen 48205
war 48218
, 48221
das 48223
Haus 48227
daher 48232
von 48238
unten 48242
herauf 48248
gebrannt 48255
hatte 48264
, 48269
so 48271
war 48274
es 48278
doch 48281
den 48286
kühnen 48290
, 48297
rüstigen 48299
Freunden 48309
gelungen 48318
, 48326
noch 48328
zu 48333
rechter 48336
Zeit 48344
in 48349
Nathanaels 48352

  48362
im 48364
obern 48367
Stock 48373
gelegenes 48379
Zimmer 48389
zu 48396
dringen 48399
und 48407
Bücher 48411
, 48418
Manuskripte 48420
, 48431
Instrumente 48433
zu 48445
retten 48448
. 48454
Alles 48456
hatten 48462
sie 48469
unversehrt 48473
in 48484
ein 48487
anderes 48491
Haus 48499
getragen 48504
und 48513
dort 48517
ein 48522
Zimmer 48526
in 48533
Beschlag 48536
genommen 48545
, 48553
welches 48555
Nathanael 48563

  48572
nun 48574
sogleich 48578
bezog 48587
. 48592
Nicht 48594
sonderlich 48600
achtete 48611
er 48619
darauf 48622
, 48628
daß 48630
er 48635
dem 48638
Professor 48642
Spallanzani 48652

  48663
gegenüber 48665
wohnte 48676
, 48682
und 48684
ebensowenig 48688
schien 48700
es 48707
ihm 48710
etwas 48714
Besonderes 48720
, 48730
als 48732
er 48736
bemerkte 48739
, 48747
daß 48749
er 48754
aus 48757
seinem 48761
Fenster 48768
gerade 48776
hinein 48783
in 48790
das 48793
Zimmer 48797
blickte 48804
, 48811
wo 48813
oft 48816
Olimpia 48820

  48827
einsam 48829
saß 48836
, 48840
so 48842
daß 48845
er 48850
ihre 48853
Figur 48858
deutlich 48864
erkennen 48873
konnte 48882
, 48888
wiewohl 48890
die 48898
Züge 48902
des 48908
Gesichts 48912
undeutlich 48921
und 48932
verworren 48936
blieben 48946
. 48953
Wohl 48955
fiel 48960
es 48965
ihm 48968
endlich 48972
auf 48980
, 48983
daß 48985
Olimpia 48990

  48997
oft 48999
stundenlang 49003
in 49015
derselben 49018
Stellung 49028
, 49036
wie 49038
er 49042
sie 49045
einst 49049
durch 49055
die 49061
Glastüre 49065
entdeckte 49075
, 49084
ohne 49086
irgendeine 49091
Beschäftigung 49102
an 49117
einem 49120
kleinen 49126
Tische 49134
saß 49141
und 49146
daß 49150
sie 49155
offenbar 49159
unverwandten 49168
Blickes 49181
nach 49189
ihm 49194
herüberschaute 49198
; 49213
er 49215
mußte 49218
sich 49225
auch 49230
selbst 49235
gestehen 49242
, 49250
daß 49252
er 49257
nie 49260
einen 49264
schöneren 49270
Wuchs 49281
gesehen 49287
; 49294
indessen 49296
, 49304
Klara 49306

  49311
im 49313
Herzen 49316
, 49322
blieb 49324
ihm 49330
die 49334
steife 49338
, 49344
starre 49346
Olimpia 49353
höchst 49361
gleichgültig 49369
, 49382
und 49384
nur 49388
zuweilen 49392
sah 49401
er 49405
flüchtig 49408
über 49418
sein 49424
Kompendium 49429
herüber 49440
nach 49449
der 49454
schönen 49458
Bildsäule 49467
, 49477
das 49479
war 49483
alles 49487
. 49492
� 49494
� 49496
Eben 49498
schrieb 49503
er 49511
an 49514
Klara 49517

 49522
, 49523
als 49525
es 49529
leise 49532
an 49538
die 49541
Türe 49545
klopfte 49551
; 49558
sie 49560
öffnete 49564
sich 49573
auf 49578
seinen 49582
Zuruf 49589
, 49594
und 49596
Coppolas 49600

  49608
widerwärtiges 49610
Gesicht 49625
sah 49633
hinein 49637
. 49643
Nathanael 49645

  49654
fühlte 49656
sich 49664
im 49669
Innersten 49672
erbeben 49682
; 49689
eingedenk 49691
dessen 49701
, 49707
was 49709
ihm 49713
Spallanzani 49717
über 49729
den 49735
Landsmann 49739
Coppola 49749

  49756
gesagt 49758
und 49765
was 49769
er 49773
auch 49776
rücksichts 49781
des 49793
Sandmanns 49797
Coppelius 49807

  49816
der 49818
Geliebten 49822
so 49832
heilig 49835
versprochen 49842
, 49853
schämte 49855
er 49864
sich 49867
aber 49872
selbst 49877
seiner 49884
kindischen 49891
Gespensterfurcht 49902
, 49918
nahm 49920
sich 49925
mit 49930
aller 49934
Gewalt 49940
zusammen 49947
und 49956
sprach 49960
so 49967
sanft 49970
und 49976
gelassen 49980
als 49989
möglich 49993
: 50001
„Ich 50003

  50009
kaufe 50011
kein 50017
Wetterglas 50022
, 50032
mein 50034
lieber 50039
Freund 50046
! 50052
gehen 50054
Sie 50060
nur 50064
! 50067
“ 50068
Da 50072
trat 50075
aber 50080
Coppola 50085

  50092
vollends 50094
in 50103
die 50106
Stube 50110
und 50116
sprach 50120
mit 50127
heiserem 50131
Ton 50140
, 50143
indem 50145
sich 50151
das 50156
weite 50160
Maul 50166
zum 50171
häßlichen 50175
Lachen 50187
verzog 50194
und 50201
die 50205
kleinen 50209
Augen 50217
unter 50223
den 50229
grauen 50233
langen 50240
Wimpern 50247
stechend 50255
hervorfunkelten 50264
: 50279
„Ei 50281
, 50286
nix 50288
Wetterglas 50292
, 50302
nix 50304
Wetterglas 50308
! 50318
� 50320
� 50322
hab 50324
auch 50328
sköne 50333
Oke 50340
� 50344
� 50346
sköne 50348
Oke 50355
! 50358
“ 50359
� 50363
� 50365
Entsetzt 50367
rief 50376
Nathanael 50381

 50390
: 50391
„Toller 50393
Mensch 50403
, 50409
wie 50411
kannst 50415
du 50422
Augen 50425
haben 50431
? 50436
� 50438
� 50440
Augen 50442
� 50448
� 50450
Augen 50452
? 50457
–“ 50459
Aber 50466
in 50471
dem 50474
Augenblick 50478
hatte 50489
Coppola 50495

  50502
seine 50504
Wettergläser 50510
beiseite 50524
gesetzt 50533
, 50540
griff 50542
in 50548
die 50551
weiten 50555
Rocktaschen 50562
und 50574
holte 50578
Lorgnetten 50584
und 50595
Brillen 50599
heraus 50607
, 50613
die 50615
er 50619
auf 50622
den 50626
Tisch 50630
legte 50636
. 50641
� 50643
� 50645
„Nu 50647
� 50653
� 50655
nu 50657
� 50660
� 50662
Brill 50664
� 50670
� 50672
Brill 50674
auf 50680
der 50684
Nas 50688

  50691
su 50693
setze 50696
, 50701
das 50703
sein 50707
meine 50712
Oke 50718
� 50722
� 50724
sköne 50726
Oke 50733
! 50736
“ 50737
� 50741
� 50743
Und 50745
damit 50749
holte 50755
er 50761
immer 50764
mehr 50770
und 50775
mehr 50779
Brillen 50784
heraus 50792
, 50798
so 50800
daß 50803
es 50808
auf 50811
dem 50815
ganzen 50819
Tisch 50826
seltsam 50832
zu 50840
flimmern 50843
und 50852
zu 50856
funkeln 50859
begann 50867
. 50873
Tausend 50875
Augen 50883
blickten 50889
und 50898
zuckten 50902
krampfhaft 50910
und 50921
starrten 50925
auf 50934
zum 50938
Nathanael 50942

 50951
; 50952
aber 50954
er 50959
konnte 50962
nicht 50969
wegschauen 50975
von 50986
dem 50990
Tisch 50994
, 50999
und 51001
immer 51005
mehr 51011
Brillen 51016
legte 51024
Coppola 51030

  51037
hin 51039
, 51042
und 51044
immer 51048
wilder 51054
und 51061
wilder 51065
sprangen 51072
flammende 51081
Blicke 51091
durcheinander 51098
und 51112
schossen 51116
ihre 51125
blutrote 51130
Strahlen 51139
in 51148
Nathanaels 51151
Brust 51162
. 51167
Übermannt 51169
von 51180
tollem 51184
Entsetzen 51191
, 51200
schrie 51202
er 51209
auf 51212
: 51215
� 51216
� 51218
„Halt 51220
ein 51228
! 51231
halt 51233
ein 51238
, 51241
fürchterlicher 51243
Mensch 51259
! 51265
“ 51266
� 51270
� 51272
Er 51274
hatte 51277
Coppola 51283
, 51290
der 51292
eben 51296
in 51301
die 51304
Tasche 51308
griff 51315
, 51320
um 51322
noch 51325
mehr 51330
Brillen 51335
herauszubringen 51343
, 51358
unerachtet 51360
schon 51371
der 51377
ganze 51381
Tisch 51387
überdeckt 51393
war 51404
, 51407
beim 51409
Arm 51414
fest 51418
gepackt 51423
. 51430
Coppola 51432

  51439
machte 51441
sich 51448
mit 51453
heiserem 51457
widrigen 51466
Lachen 51475
sanft 51482
los 51488
, 51491
und 51493
mit 51497
den 51501
Worten 51505
: 51511
„Ah 51513
! 51518
� 51520
� 51522
nix 51524
für 51528
Sie 51533
� 51537
� 51539
aber 51541
hier 51546
sköne 51551
Glas“ 51558
� 51566
� 51568
hatte 51570
er 51576
alle 51579
Brillen 51584
zusammengerafft 51592
, 51607
eingesteckt 51609
und 51621
aus 51625
der 51629
Seitentasche 51633
des 51646
Rocks 51650
eine 51656
Menge 51661
großer 51667
und 51675
kleiner 51679
Perspektive 51687
hervorgeholt 51699
. 51711
Sowie 51713
die 51719
Brillen 51723
fort 51731
waren 51736
, 51741
wurde 51743
Nathanael 51749

  51758
ganz 51760
ruhig 51765
und 51771
, 51774
an 51776
Klara 51779

  51784
denkend 51786
, 51793
sah 51795
er 51799
wohl 51802
ein 51807
, 51810
daß 51812
der 51817
entsetzliche 51821
Spuk 51834
nur 51839
aus 51843
seinem 51847
Innern 51854
hervorgegangen 51861
sowie 51876
daß 51882
Coppola 51887

  51894
ein 51896
höchst 51900
ehrlicher 51908
Mechanikus 51918
und 51929
Optikus 51933
, 51940
keineswegs 51942
aber 51953
Coppelii 51958
verfluchter 51967
Doppeltgänger 51979
und 51994
Revenant 51998
sein 52007
könne 52012
. 52018
Zudem 52020
hatten 52026
alle 52033
Gläser 52038
, 52045
die 52047
Coppola 52051

  52058
nun 52060
auf 52064
den 52068
Tisch 52072
gelegt 52078
, 52084
gar 52086
nichts 52090
Besonderes 52097
, 52107
am 52109
wenigsten 52112
so 52122
etwas 52125
Gespenstisches 52131
wie 52146
die 52150
Brillen 52154
, 52161
und 52163
, 52166
um 52168
alles 52171
wieder 52177
gutzumachen 52184
, 52195
beschloß 52197
Nathanael 52207

 52216
, 52217
dem 52219
Coppola 52223

  52230
jetzt 52232
wirklich 52238
etwas 52247
abzukaufen 52253
. 52263
Er 52265
ergriff 52268
ein 52276
kleines 52280
, 52287
sehr 52289
sauber 52294
gearbeitetes 52301
Taschenperspektiv 52314
und 52332
sah 52336
, 52339
um 52341
es 52344
zu 52347
prüfen 52350
, 52357
durch 52359
das 52365
Fenster 52369
. 52376
Noch 52378
im 52383
Leben 52386
war 52392
ihm 52396
kein 52400
Glas 52405
vorgekommen 52410
, 52421
das 52423
die 52427
Gegenstände 52431
so 52444
rein 52447
, 52451
scharf 52453
und 52460
deutlich 52464
dicht 52473
vor 52479
die 52483
Augen 52487
rückte 52493
. 52500
Unwillkürlich 52502
sah 52517
er 52521
hinein 52524
in 52531
Spallanzanis 52534

  52546
Zimmer 52548
; 52554
Olimpia 52556

  52563
saß 52565
, 52569
wie 52571
gewöhnlich 52575
, 52586
vor 52588
dem 52592
kleinen 52596
Tisch 52604
, 52609
die 52611
� 52615
� 52616
rme 52617
darauf 52621
gelegt 52628
, 52634
die 52636
Hände 52640
gefaltet 52647
. 52655
� 52657
� 52659
Nun 52661
erschaute 52665
Nathanael 52675

  52684
erst 52686
Olimpias 52691
wunderschön 52700
geformtes 52713
Gesicht 52723
. 52730
Nur 52732
die 52736
Augen 52740
schienen 52746
ihm 52755
gar 52759
seltsam 52763
starr 52771
und 52777
tot 52781
. 52784
Doch 52786
wie 52791
er 52795
immer 52798
schärfer 52804
und 52814
schärfer 52818
durch 52828
das 52834
Glas 52838
hinschaute 52843
, 52853
war 52855
es 52859
, 52861
als 52863
gingen 52867
in 52874
Olimpias 52877

  52885
Augen 52887
feuchte 52893
